NEWST	NAME	ROLE	TITLE	POSITION	DURATION	DAYS	SUB_COUNT	TOTAL_VIEWS	TOPICS	Beautiful	OK	Funny	Unconvincing	Fascinating	Informative	Ingenious	Persuasive	Inspiring	Courageous	Obnoxious	Confusing	Longwinded	Jaw-dropping	Role_refine
p.1-1	Mary Norris	Copy editor	The nit-picking glory of The New Yorker's Comma Queen	TED2016	9:49	2016-02	1	92,346	Communication,Composing,Grammar,Journalism,Language,Storytelling,Writing,,	27	22	65	3	30	61	13	5	16	2	1	1	1	0	Media
p.1-2	Astro Teller	Entrepreneur, inventor, author	The unexpected benefit of celebrating failure	TED2016	15:32	2016-02	1	248,139	Big problems,Collaboration,Creativity,Design,Engineering,Exploration,Failure,Future,Global issues,Invention,Leadership,Motivation,Potential,Product design,Technology,,	2	17	1	1	41	37	48	14	110	16	7	2	6	9	Management
p.1-3	Paula Hammond	Medical researcher and educator 	A new superweapon in the fight against cancer	TED Talks Live	10:42	2015-11	3	206,960	Big problems,Biomechanics,Biotech,Cancer,Disease,Engineering,Genetics,Health,Invention,Medical research,Medicine,Microbiology,Nanoscale,Science,Technology,,	5	6	1	1	64	122	48	6	75	3	0	0	0	16	Science
p.1-4	Stephen Petranek	Technology forecaster 	Your kids might live on Mars. Here's how they'll survive	TED2015	17:14	2015-03	1	281,778	NASA,TED Books,Architecture,Biosphere,Climate change,Engineering,Environment,Exploration,Future,Global issues,Humanity,Industrial design,Invention,Life,Population,Potential,Prediction,Rocket science,Science,Space,Technology,Transportation,,	5	10	7	26	67	109	22	21	91	19	5	8	5	7	Science
p.1-5	Hugh Evans	Humanitarian	What does it mean to be a citizen of the world?	TED2016	16:56	2016-02	1	295,759	Activism,Big problems,Climate change,Collaboration,Communication,Community,Future,Global issues,Goal-setting,Government,Humanity,Identity,Inequality,Leadership,Live music,Policy,Politics,Social change,Social media,,	65	15	29	13	26	86	12	87	333	79	12	2	16	11	Public
p.1-6	Linus Torvalds	Software engineer	The mind behind Linux	TED2016	21:30	2016-02	2	507,148	Internet,Code,Communication,Computers,Data,Engineering,Interview,Invention,Programming,Technology,Web,,	56	48	92	3	177	246	50	15	304	49	0	10	29	14	Science
p.1-7	Robert Palmer	Campaign leader, Global Witness	The Panama Papers exposed a huge global problem. What's next?	Global Witness HQ	7:49	2016-04	9	378,728	Activism,Big problems,Business,Corruption,Economics,Global issues,Government,Identity,Inequality,Investment,Law,Money,News,Poverty,,	1	33	0	26	35	126	6	39	13	27	6	9	18	5	Public
p.1-8	Tabetha Boyajian	Astronomer	The most mysterious star in the universe	TED2016	13:46	2016-02	2	411,629	NASA,Planets,Astronomy,Exploration,Extraterrestrial life,Nature,Science,Technology,Universe,,	16	17	18	25	197	166	13	12	57	5	10	5	7	56	Science
p.1-9	Danielle Feinberg	Director of photography, Pixar	The magic ingredient that brings Pixar movies to life	TED Talks Live	12:04	2015-11	5	490,885	Art,Beauty,Code,Computers,Design,Entertainment,Film,Magic,Programming,Science,Technology,Visualizations,,	275	19	23	13	173	106	47	8	281	17	6	1	5	21	Art
p.1-10	Parag Khanna	Global strategist	How megacities are changing the map of the world	TED2016	20:34	2016-02	2	344,739	Internet,Big problems,Collaboration,Communication,Community,Development,Economics,Engineering,Environment,Future,Global issues,Government,Green,History,Humanity,Inequality,Infrastructure,Innovation,Investment,Map,Mobility,Policy,Politics,Pollution,Potential,Social change,Society,Transportation,Urban,Urban planning,Visualizations,War,World cultures,,	17	16	0	27	108	213	18	42	112	7	15	13	23	14	Science
