NEWST	NAME	ROLE	TITLE	POSITION	DURATION	DAYS	SUB_COUNT	TOTAL_VIEWS	TOPICS	Beautiful	OK	Funny	Unconvincing	Fascinating	Informative	Ingenious	Persuasive	Inspiring	Courageous	Obnoxious	Confusing	Longwinded	Jaw-dropping	Role_refine
p.1-1	Mary Norris	Copy editor	The nit-picking glory of The New Yorker's Comma Queen	TED2016	9:49	2016-02	1	92,346	Communication,Composing,Grammar,Journalism,Language,Storytelling,Writing,,	27	22	65	3	30	61	13	5	16	2	1	1	1	0	Humanist
p.1-1	Mary Norris	Copy editor	The nit-picking glory of The New Yorker's Comma Queen	TED2016	9:49	2016-02	1	92,346	Communication,Composing,Grammar,Journalism,Language,Storytelling,Writing,,	27	22	65	3	30	61	13	5	16	2	1	1	1	0	Vip
p.1-1	Mary Norris	Copy editor	The nit-picking glory of The New Yorker's Comma Queen	TED2016	9:49	2016-02	1	92,346	Communication,Composing,Grammar,Journalism,Language,Storytelling,Writing,,	27	22	65	3	30	61	13	5	16	2	1	1	1	0	Vip
