NEWST	NAME	ROLE	TITLE	POSITION	DURATION	DAYS	SUB_COUNT	TOTAL_VIEWS	TOPICS	Beautiful	OK	Funny	Unconvincing	Fascinating	Informative	Ingenious	Persuasive	Inspiring	Courageous	Obnoxious	Confusing	Longwinded	Jaw-dropping	Role_refine
p.3-14	Raymond Wang	Inventor	How germs travel on planes — and how we can stop them	TEDYouth 2015	6:28	2015-11	24	1,262,112	TEDx,Ancient world,Arts,Books,Computers,Creativity,Culture,History,Library,Literature,Science,Society,Technology,,	3	51	7	14	117	316	256	84	151	13	7	3	7	19	Science
p.3-15	Danit Peleg	Fashion designer	Forget shopping. Soon you'll download your new clothes	TEDYouth 2015	6:20	2015-11	34	1,330,973	TEDx,Collaboration,Computers,Creativity,Design,Engineering,Future,Industrial design,Innovation,Invention,Materials,Potential,Product design,Technology,,	112	84	26	28	143	116	71	6	102	34	6	7	36	20	Art
p.3-16	Jedidah Isler	Astrophysicist	The untapped genius that could change science for the better	TED Fellows Retreat 2015	13:42	2015-08	10	869,968	United States,Business,Capitalism,China,Democracy,Development,Economics,Finance,Future,Global issues,Government,Leadership,Money,Policy,Society,,	77	27	5	10	25	71	17	26	192	116	8	15	20	1	Science
p.3-17	Guillaume Néry	World champion freediver	The exhilarating peace of freediving	TEDxToulouse	19:10	2013-03	9	675,273	TEDx,Bullying,Community,Disability,Health,Identity,Inequality,Motivation,Personal growth,Play,Potential,Self,Social change,Sports,,	155	22	5	2	205	87	7	6	171	59	2	3	3	53	Explorer
p.3-18	Chieko Asakawa	Visionary inventor	How new technology helps blind people explore the world	TED@IBM	9:29	2015-10	28	1,021,843	Africa,Big problems,Disease,Ebola,Future,Genetics,Global issues,Health,Humanity,Illness,Innovation,Medical research,Medicine,Pandemic,Public health,Science,,	46	32	23	1	77	63	61	6	191	114	3	3	9	9	Science
p.3-19	Jessica Shortall	Strategy consultant, social entrepreneur and author	The US needs paid family leave — for the sake of its future	TEDxSMU	15:45	2015-10	19	1,182,578	Addiction,TEDMED,Brain,Choice,Cognitive science,Curiosity,Decision-making,Health,Illness,Meditation,Mental health,Mind,Mindfulness,Motivation,Nature,Neuroscience,Obesity,Personal growth,Science,,	23	36	10	28	38	231	11	194	153	206	1	7	3	43	Management
p.3-20	Kristen Marhaver	Coral reef biologist	How we're growing baby corals to rebuild reefs	Mission Blue II	13:46	2015-10	18	590,368	South America,Adventure,Beauty,Biosphere,Chemistry,Environment,Exploration,Geology,Motivation,Nature,Science,,	161	9	5	0	148	192	13	60	194	15	0	0	0	12	Science
p.3-21	Marina Abramović	Performance artist	An art made of trust, vulnerability and connection	TED2015	15:51	2015-03	27	1,044,033	Internet,TEDx,Algorithm,Code,Computers,Creativity,Design,Education,Future,Parenting,Product design,Programming,Software,Storytelling,Technology,Web,,	249	24	8	8	143	27	24	10	276	106	8	15	9	18	Art
p.3-22	Regina Hartley	Human Resources Manager, UPS	Why the best hire might not have the perfect resume	TED@UPS	10:31	2015-09	26	2,342,016	Activism,Big problems,Consumerism,Development,Education,Environment,Future,Materials,Oceans,Plastic,Pollution,Sustainability,,	120	113	188	43	207	428	65	442	1481	155	14	16	19	18	Management
p.3-23	Ann Morgan	Writer, blogger, author	My year reading a book from every country in the world	TEDGlobal>London	12:03	2015-09	32	1,187,794	Animals,Biology,Biomechanics,Biotech,Design,Engineering,Future,Innovation,Invention,Nature,Neuroscience,Physics,Robots,Technology,,	130	55	22	4	165	170	49	94	387	20	12	7	13	2	Humanist
p.3-24	Genevieve von Petzinger	Paleoanthropologist and rock art researcher	Why are these 32 symbols found in ancient caves all over Europe?	TED Fellows Retreat 2015	12:05	2015-08	24	2,061,232	Debate,TEDx,Activism,Biotech,Cancer,Genetics,Government,Health,Health care,Innovation,Law,Leadership,Medical research,Medicine,Nature,Policy,Public health,Science,Society,Technology,,	156	148	11	25	352	367	38	53	87	10	13	21	50	13	Humanist
p.3-25	Carl Safina	Ecologist, writer	What are animals thinking and feeling?	Mission Blue II	19:26	2015-10	23	1,606,853	Adventure,Beauty,Biodiversity,Biology,Environment,Exploration,Fish,Life,Mission blue,Nature,Neuroscience,Oceans,Photography,Science,Submarine,Water,,	671	41	37	17	384	434	23	385	530	87	16	15	19	61	Humanist
p.3-26	Anote Tong	President of the Republic of Kiribati	My country will be underwater soon — unless we work together	Mission Blue II	21:15	2015-10	18	947,598	Europe,United States,Activism,Big problems,Business,Capitalism,Democracy,Economics,Finance,Global issues,Government,Investment,Leadership,Money,Politics,Society,,	13	26	6	3	19	89	3	59	53	42	10	3	11	5	Vip
p.3-27	Nonny de la Peña	Virtual reality pioneer	The future of news? Virtual reality	TEDWomen 2015	9:27	2015-05	24	1,026,979	Christianity,God,Arts,Beauty,Creativity,Culture,History,Museums,Painting,Religion,Visualizations,,	13	44	3	34	59	128	39	38	53	22	6	7	6	15	Science
p.3-28	Josh Luber	Sneaker data expert	The secret sneaker market — and why it matters	TED@IBM	11:51	2015-10	17	1,486,622	Africa,Agriculture,Botany,Business,Creativity,Environment,Green,Innovation,Materials,Nature,Potential,Product design,Sustainability,Water,Women in business,,	16	38	183	27	272	337	70	46	47	11	27	8	14	43	Science
p.3-29	Jean-Paul Mari	Journalist and psychologist	The chilling aftershock of a brush with death	TEDxCannes	15:30	2015-03	15	669,209	AI,TEDYouth,TEDx,Algorithm,Arts,Composing,Computers,Creativity,Identity,Language,Literature,Poetry,Technology,Writing,,	26	16	5	18	76	99	2	45	115	147	6	11	17	16	Humanist
p.3-30	Chelsea Shields	Activist, anthropologist, consultant	How I'm working for change inside my church	TED Fellows Retreat 2015	12:36	2015-08	19	1,292,139	Africa,Agriculture,Biology,Biosphere,Biotech,Botany,Chemistry,Climate change,Environment,Food,Garden,Genetics,Global issues,Microbiology,Nature,Potential,Science,Sustainability,Water,Weather,,	100	47	6	118	38	123	17	82	188	180	45	36	31	18	Humanist
p.3-31	Andreas Ekström	Author and journalist	The moral bias behind your search results	TEDxOslo	9:18	2015-01	29	1,227,747	TEDYouth,Adventure,Biosphere,Climate change,Curiosity,Environment,Exploration,Nature,Robots,Science,Technology,Water,,	12	39	4	20	119	389	33	155	129	68	17	10	10	27	Media
p.3-32	Jenni Chang and Lisa Dazols	Documentary filmmakers	This is what LGBT life is like around the world	TEDWomen 2015	11:50	2015-05	17	1,244,521	Architecture,Cities,Collaboration,Community,Cooperation,Creativity,Design,Development,Engineering,Environment,Industrial design,Innovation,Productivity,Technology,Urban,Urban planning,Work,,	178	31	17	23	20	127	5	11	192	137	8	4	5	0	Art
p.3-33	Kaki King	Guitarist	A musical escape into a world of light and color	TEDWomen 2015	11:31	2015-05	32	1,160,381	Egypt,Internet,Middle East,Activism,Big problems,Collaboration,Communication,Computers,Democracy,Entrepreneur,Government,Innovation,Media,Motivation,Politics,Social change,Social media,Society,State-building,Web,,	260	67	15	36	109	9	52	0	114	3	8	8	10	24	Art
p.3-34	Harald Haas	Communications technology innovator	Forget Wi-Fi. Meet the new Li-Fi Internet	TEDGlobal>London	7:24	2015-09	25	1,464,500	TEDx,Big problems,Community,Crime,Faith,Law,Peace,Policy,Security,Society,Violence,,	30	56	7	37	317	455	264	28	229	6	8	11	4	156	Science
p.3-35	Patrícia Medici	Wildlife conservationist	The coolest animal you know nothing about ... and how we can save it	TED Fellows 2015	11:32	2015-08	26	1,143,939	Arts,Cognitive science,Collaboration,Composing,Creativity,Innovation,Music,Potential,Psychology,Success,Work,,	131	53	22	537	123	198	7	83	217	99	4	4	9	3	Public
p.3-36	Melissa Fleming	Voice for refugees	A boat carrying 500 refugees sunk at sea. The story of two survivors	TEDxThessaloniki	19:15	2015-05	25	1,278,092	Comedy,Communication,Curiosity,Humor,Technology,,	246	22	12	11	45	121	3	122	348	149	9	9	14	33	Public
p.4-1	Nancy Lublin	Activist	How data from a crisis text line is saving lives	TEDWomen 2015	9:39	2015-05	23	654,933	TEDx,Chemistry,Climate change,Design,Engineering,Environment,Future,Global issues,Industrial design,Infrastructure,Innovation,Population,Public health,Sustainability,Urban planning,Water,,	152	22	35	5	59	124	47	33	344	105	14	0	0	53	Public
p.4-2	Daniel Levitin	Neuroscientist	How to stay calm when you know you'll be stressed	TEDGlobal>London	12:20	2015-09	30	4,373,571	Planets,TED Fellows,Arts,Astronomy,Children,Computers,Education,Exploration,Extraterrestrial life,Future,Life,Space,Technology,Universe,Women,,	272	393	88	160	210	915	87	277	281	52	27	60	82	31	Science
p.4-3	Mathias Jud	Artist	Art that lets you talk back to NSA spies	TEDGlobal>London	12:56	2015-09	16	895,818	TEDx,Algorithm,Brain,Data,Decision-making,Intelligence,Media,Technology,,	12	31	54	15	32	82	55	22	106	74	10	11	12	5	Art
p.4-4	Christine Sun Kim	Sound artist, composer	The enchanting music of sign language	TED Fellows Retreat 2015	15:17	2015-08	22	984,945	Big bang,Complexity,Dark matter,Exploration,Future,Innovation,Nature,Physics,Science,Space,Technology,Universe,,	260	14	52	0	138	129	18	23	235	39	0	7	2	15	Art
p.4-5	Cesar Harada	Inventor, environmentalist, educator	How I teach kids to love science	TED Fellows Retreat 2015	9:48	2015-08	30	1,341,337	TEDx,Aging,Data,Development,Happiness,Health,Humanity,Life,Relationships,Society,Time,,	62	41	28	6	147	175	100	68	347	51	0	6	7	17	Science
p.4-6	Hilary Cottam	Innovator and social entrepreneur	Social services are broken. How we can fix them	TEDGlobal>London	16:55	2015-09	15	592,610	Art,Biosphere,Creativity,Design,Entertainment,Fish,Life,Mission blue,Nature,Oceans,Water,,	25	11	8	9	26	167	34	119	261	35	1	14	16	14	Management
p.4-7	Francesco Sauro	Speleologist	Deep under the Earth's surface, discovering beauty and science	TEDGlobal>London	14:37	2015-09	17	1,291,988	Internet,Activism,Communication,Computers,Data,Future,Government,Leadership,Military,Policy,Security,Technology,Terrorism,Violence,War,Web,,	230	62	10	9	315	141	15	19	62	46	2	12	24	35	Explorer
p.4-8	Tom Uglow	Designer	An Internet without screens might look like this	TEDxSydney	8:23	2015-05	26	1,427,356	Europe,Future,Global issues,Government,Humanity,Immigration,Interview,Policy,Politics,Social change,Society,Terrorism,,	60	102	47	76	96	219	69	35	219	2	15	23	45	16	Art
p.4-9	Jennifer Doudna	Biologist	We can now edit our DNA. But let's do it wisely	TEDGlobal>London	15:53	2015-09	25	1,272,314	Aging,Comedy,Humanity,Humor,Identity,Interview,Life,Personal growth,Relationships,Self,Women,,	64	45	1	11	296	383	93	109	108	63	8	13	14	123	Science
p.4-10	Will Potter	Investigative journalist	The secret US prisons you've never heard of before	TED Fellows Retreat 2015	14:55	2015-08	23	1,669,198	TED Fellows,TEDx,Aging,Architecture,Cities,Death,Design,Humanity,,	6	45	11	29	94	405	11	82	132	438	37	6	17	125	Media
p.4-11	Meklit Hadero	Singer-songwriter	The unexpected beauty of everyday sounds	TED Fellows Retreat 2015	13:03	2015-08	26	830,656	NASA,Planets,TED Fellows,Astronomy,Exploration,Future,Humanity,Space,Universe,,	439	39	51	10	228	72	58	22	283	8	1	4	8	23	Art
p.4-12	Anders Fjellberg	Journalist	Two nameless bodies washed up on the beach. Here are their stories	TEDGlobal>London	14:41	2015-09	25	1,049,367	Animals,Biosphere,Biotech,Fish,Food,Innovation,Mission blue,Oceans,Science,,	30	34	6	8	62	264	2	63	163	186	6	2	1	62	Media
p.4-13	Alyson McGregor	Women's health pioneer	Why medicine often has dangerous side effects for women	TEDxProvidence	15:29	2014-09	26	1,230,126	TEDYouth,Art,Entertainment,Family,Live music,Music,Performance,,	28	40	7	19	149	573	34	197	132	48	9	7	34	45	Science
p.4-14	Vijay Kumar	Roboticist	The future of flying robots	TEDxPenn	13:09	2015-04	20	1,054,010	TEDYouth,Aircraft,Bacteria,Design,Engineering,Flight,Health,Illness,Innovation,Invention,Physics,Science,Transportation,,	100	57	34	8	205	228	135	15	201	6	4	3	4	36	Science
p.4-15	Michael Green	Social progress expert	How we can make the world a better place by 2030	TEDGlobal>London	14:39	2015-09	28	924,112	TEDYouth,Art,Business,Design,Fashion,Future,Invention,Materials,Shopping,,	27	67	6	31	128	355	33	99	353	37	3	6	15	8	Humanist
p.4-16	Teitur	Singer-songwriter	Home is a song I've always remembered	TED2015	10:49	2015-03	26	933,876	TED Fellows,Astronomy,Future,Goal-setting,Identity,Inequality,Physics,Potential,Race,Science,Society,Space,Universe,Women,,	267	29	2	6	49	12	6	5	85	10	5	13	5	1	Art
p.4-17	Sandrine Thuret	Neural stem cell researcher	You can grow new brain cells. Here's how	TED@BCG London	11:04	2015-06	31	2,741,130	TEDx,Adventure,Consciousness,Exploration,Extreme sports,Meditation,Mind,Mindfulness,Oceans,Peace,,	115	105	64	18	1101	1566	111	293	439	26	6	36	20	75	Science
p.4-18	Neri Oxman	Architect, designer	Design at the intersection of technology and biology	TED2015	17:36	2015-03	23	1,318,479	AI,Communication,Data,Demo,Future,Innovation,Interface design,Invention,Open-source,Sight,Technology,,	151	28	4	10	315	184	174	6	233	13	18	12	10	117	Science
p.4-19	Siddhartha Mukherjee	Cancer physician and writer	Soon we'll cure diseases with a cell, not a pill	TED2015	17:35	2015-03	23	1,121,981	TEDx,Activism,Big problems,Economics,Family,Future,Government,Health,Health care,Humanity,Parenting,Social change,Society,Women,Women in business,Work,,	11	42	5	19	145	271	60	70	121	10	8	7	18	14	Science
p.4-20	Alice Bows-Larkin	Climate scholar	Climate change is happening. Here's how we adapt	TEDGlobalLondon	14:23	2015-06	20	1,055,024	TED Fellows,Animals,Biology,Biosphere,Climate change,Environment,Exoskeleton,Microbiology,Mission blue,Nature,Oceans,Pollution,Science,Water,,	31	47	5	43	21	240	13	121	58	36	17	16	18	16	Science
p.4-21	Emilie Wapnick	Writer, coach, artist ...	Why some of us don't have one true calling	TEDxBend	12:26	2015-04	30	2,567,738	Art,Collaboration,Communication,Energy,Fear,Identity,Performance art,Relationships,Self,Society,Vulnerability,,	619	111	170	54	750	598	330	343	3015	425	18	11	28	113	Humanist
p.4-22	Martin Pistorius	Author, designer	How my mind came back to life — and no one knew	TEDxKC	14:08	2015-08	27	1,647,671	Business,Decision-making,Entrepreneur,Failure,Goal-setting,Mental health,Personal growth,Productivity,Success,Women in business,Work,,	261	16	9	0	182	84	11	15	722	450	0	3	3	158	Humanist
p.4-23	Mac Stone	Photographer	Stunning photos of the endangered Everglades	TEDxUF	19:15	2015-03	18	1,032,737	Books,Goal-setting,Library,Literature,Personal growth,Writing,,	262	18	6	3	126	147	3	110	246	62	9	3	1	22	Art
p.4-24	Taiye Selasi	Author	Don't ask where I'm from, ask where I'm a local	TEDGlobal 2014	16:31	2014-10	26	1,502,774	Europe,TED Fellows,Ancient world,Anthropology,Art,History,Humanity,Invention,Language,Science,Writing,,	384	48	12	19	276	244	177	193	824	82	11	23	26	23	Humanist
p.4-25	Samuel Cohen	Research scientist	Alzheimer's is not normal aging — and we can cure it	TED@BCG London	7:53	2015-06	35	1,172,642	Animals,Biology,Brain,Cognitive science,Consciousness,Evolution,Life,Mind,Mission blue,Science,,	18	57	3	13	91	491	21	219	272	51	1	4	3	19	Science
p.4-26	Robin Morgan	Poet and activist	4 powerful poems about Parkinson's and growing older	TEDWomen 2015	11:57	2015-05	20	913,397	Climate change,Environment,Global issues,Humanity,Mission blue,Oceans,Policy,Politics,Pollution,Science,,	229	28	14	1	23	9	3	4	93	83	4	5	3	15	Humanist
p.4-27	Mary Robinson	Global leader	Why climate change is a threat to human rights	TEDWomen 2015	21:47	2015-05	20	921,992	Future,Innovation,Invention,Journalism,Media,News,Storytelling,Visualizations,,	25	70	12	21	40	137	5	84	159	26	11	15	40	12	Public
p.4-28	Frances Larson	Anthropologist	Why public beheadings get millions of views	TEDGlobalLondon	15:57	2015-06	22	1,036,686	Brand,Advertising,Data,Economics,Fashion,Investment,Marketing,Shopping,,	16	48	6	39	67	183	5	77	19	27	18	17	31	35	Science
p.4-29	Sakena Yacoobi	Education activist	How I stopped the Taliban from shutting down my school	TEDWomen 2015	17:03	2015-05	26	1,170,664	TEDx,Death,Global issues,Iraq,Military,Mind,Pain,Psychology,Violence,War,,	250	20	82	5	136	148	24	59	556	542	1	1	5	199	Public
p.4-30	Scott Dinsmore	Writer, traveler	How to find work you love	TEDxGoldenGatePark 2012	17:47	2012-10	17	3,142,812	God,TED Fellows,Activism,Community,Faith,Feminism,Identity,Inequality,Personal growth,Religion,Society,Women,,	108	214	72	71	180	212	43	396	1791	315	24	68	92	41	Humanist
p.4-31	Mandy Len Catron	Writer	Falling in love is the easy part	TEDxChapmanU	13:53	2015-08	30	2,284,964	Google,Internet,TEDx,Algorithm,Communication,Computers,Decision-making,Society,Software,Technology,Web,,	305	340	217	57	334	242	27	62	312	193	33	34	80	8	Humanist
p.4-32	Michael Kimmel	Sociologist	Why gender equality is good for everyone — men included	TEDWomen 2015	15:58	2015-05	26	1,084,781	LGBT,Film,Global issues,Love,Relationships,Social change,Society,Travel,,	113	37	308	43	104	282	51	223	417	62	24	5	26	19	Humanist
p.4-33	Mia Birdsong	Family activist	The story we tell about poverty isn't true	TEDWomen 2015	15:16	2015-05	22	1,380,638	Art,Creativity,Guitar,Innovation,Live music,Music,Performance,,	273	43	7	28	38	116	27	148	481	162	12	13	21	11	Public
p.4-34	David Rothkopf	Foreign policy strategist	How fear drives American politics	TED2015	18:00	2015-03	20	1,095,692	Internet,Communication,Demo,Design,Infrastructure,Innovation,Invention,Solar,Web,,	18	83	10	40	86	276	17	197	141	64	10	9	8	26	Humanist
p.4-35	Billie Jean King	Tennis legend and activist	This tennis icon paved the way for women in sports	TEDWomen 2015	16:05	2015-05	22	835,520	Brazil,TED Fellows,Animals,Biodiversity,Biology,Environment,,	10	22	42	1	17	22	6	16	90	49	4	0	1	0	Public
p.4-36	BJ Miller	Palliative caregiver	What really matters at the end of life	TED2015	19:07	2015-03	26	3,461,065	Middle East,TEDx,Global issues,Government,Humanity,Immigration,Policy,Politics,Poverty,Social change,Society,Trafficking,War,,	1791	96	14	24	258	451	59	304	2231	958	14	20	65	42	Public
p.5-1	Barry Schwartz	Psychologist	The way we think about work is broken	TED2014	8:02	2014-03	27	1,985,350	Activism,Big problems,Communication,Data,Pain,Policy,Society,Technology,Youth,,	44	195	26	107	146	287	44	214	392	41	18	38	30	13	Humanist
p.5-2	Alan Eustace	Stratospheric explorer	I leapt from the stratosphere. Here's how I did it	TED2015	14:28	2015-03	19	1,310,228	Brain,Cognitive science,Health,Medicine,Memory,Mental health,Neuroscience,,	67	54	17	8	172	101	51	5	240	276	11	8	2	97	Science
p.5-3	Jim Simons	Philanthropist, mathematician	A rare interview with the mathematician who cracked Wall Street	TED2015	23:03	2015-03	19	1,279,642	Europe,Internet,Art,Communication,Democracy,Government,Intelligence,Politics,Security,Technology,Telecom,,	16	63	12	8	131	157	31	16	213	14	5	15	29	5	Public
p.5-4	Jamie Bartlett	Social media analyst	How the mysterious dark net is going mainstream	TEDGlobalLondon	14:15	2015-06	25	1,693,556	TED Fellows,Art,Communication,Composing,Language,Music,Sound,,	30	40	137	8	508	915	95	124	92	59	3	15	7	135	Science
p.5-5	Elizabeth Nyamayaro	Political scientist	An invitation to men who want a better world for women	TEDWomen 2015	12:39	2015-05	28	1,151,335	TED Fellows,Collaboration,Design,Education,Environment,Global issues,Green,Innovation,Invention,Oceans,Water,,	133	101	13	12	34	93	7	58	252	97	8	6	9	6	Science
p.5-6	Wendy Freedman	Astronomer	This new telescope might show us the beginning of the universe	TEDGlobal 2014	15:38	2014-10	23	1,067,468	Big problems,Community,Relationships,Social change,,	61	32	6	4	200	225	20	14	131	4	1	0	6	30	Science
p.5-7	Yves Morieux	Consultant	How too many rules at work keep you from getting things done	TED@BCG London	16:38	2015-07	30	1,539,249	Adventure,Exploration,Geology,Science,,	179	55	61	32	221	248	114	301	550	72	6	21	57	18	Management
p.5-8	Robin Murphy	Disaster roboticist	These robots come to the rescue after a disaster	TEDWomen 2015	8:59	2015-05	21	874,159	TEDx,Design,Future,Happiness,Humanity,Invention,Technology,,	5	57	9	11	84	167	36	34	24	6	14	6	7	2	Science
p.5-9	Seth Berkley	Vaccine visionary	The troubling reason why vaccines are made too late ... if they're made at all	TED2015	7:17	2015-03	25	915,127	Bioethics,Genetics,Medical research,Medicine,Philosophy,Science,,	7	46	5	9	17	228	10	69	33	35	2	1	3	9	Science
p.5-10	Jim Al-Khalili	Quantum physicist	How quantum biology might explain life’s biggest questions	TEDGlobalLondon	16:09	2015-06	26	1,188,920	TED Fellows,Communication,Crime,Journalism,Prison,Privacy,,	103	62	18	17	477	371	100	51	106	11	7	24	28	71	Science
p.5-11	Dustin Yellin	Sculptor 	A journey through the mind of an artist	TED@NYC	7:32	2014-10	28	1,221,193	TED Fellows,Art,Creativity,Culture,Language,Music,Nature,Sound,,	143	87	149	30	257	32	95	6	132	7	26	45	10	22	Art
p.5-12	Christopher Soghoian	Privacy researcher + activist	How to avoid surveillance ... with the phone in your pocket	TED2015	6:16	2015-03	26	1,082,669	Europe,Middle East,Death,Global issues,Identity,Journalism,War,,	5	118	13	84	44	314	3	86	10	34	11	14	35	17	Public
p.5-13	Tony Wyss-Coray	Brain scientist	How young blood might help reverse aging. Yes, really	TEDGlobalLondon	13:35	2015-06	22	1,218,148	TEDx,Disease,Health,Health care,Heart health,Medical research,Medicine,Women,,	14	25	2	10	464	282	98	40	143	18	6	4	7	62	Science
p.5-14	Manuel Lima	Data visualization researcher	A visual history of human knowledge	TED2015	12:49	2015-03	23	1,531,067	TEDx,Agriculture,Computers,Design,Engineering,Robots,Science,Technology,,	188	164	17	50	247	329	82	40	151	4	8	19	60	14	Science
p.5-15	Alix Generous	Advocate	How I learned to communicate my inner life with Asperger's	TEDWomen 2015	10:26	2015-06	27	1,315,986	Big problems,Development,Economics,Future,Global issues,Goal-setting,Policy,Statistics,,	271	19	334	1	111	168	19	17	506	356	6	5	3	8	Public
p.5-16	Patience Mthunzi	Laser scientist	Could we cure HIV with lasers?	TED2015	4:25	2015-03	36	1,087,410	Guitar,Live music,Music,Performance,Piano,,	6	36	16	22	76	181	72	10	51	21	3	0	0	18	Science
p.5-17	Matt Kenyon	New media artist	A secret memorial for civilian casualties	TED2015	6:55	2015-03	23	793,252	Aging,Brain,Health,Medical research,Memory,Mental health,Mind,Neuroscience,Science,,	18	39	19	19	31	24	75	3	76	86	11	4	16	8	Art
p.5-18	Rich Benjamin	Social observer	My road trip through the whitest towns in America	TEDWomen 2015	13:01	2015-05	24	1,622,798	Architecture,Biology,Design,Innovation,Materials,Microbiology,Nature,Product design,Technology,,	26	76	392	66	183	302	36	82	215	286	45	20	27	9	Public
p.5-19	Benedetta Berti 	International policy analyst	The surprising way groups like ISIS stay in power	TED2015	5:38	2015-03	29	1,560,107	Disease,Future,Health,Illness,Innovation,Medical research,Medicine,Science,,	19	206	18	160	253	868	60	401	100	92	47	50	25	25	Humanist
p.5-20	Yuval Noah Harari	Historian	What explains the rise of humans?	TEDGlobalLondon	17:08	2015-06	31	1,904,654	Climate change,Energy,Green,Infrastructure,Policy,Pollution,Science,Sustainability,,	75	158	124	84	931	751	481	374	394	120	41	21	47	79	Humanist
p.5-21	eL Seed	Calligraffiti artist	Street art with a message of hope and peace	TED2015	5:39	2015-03	29	1,229,064	TEDx,Creativity,Curiosity,Education,Identity,Personal growth,Work,,	319	80	27	14	99	56	34	16	241	109	11	7	8	16	Art
p.5-22	John Green	Writer	The nerd's guide to learning everything online	TEDxIndianapolis	18:10	2012-11	24	2,668,969	TEDx,Brain,Communication,Health,Health care,Mind,Speech,,	255	294	273	97	304	531	89	181	652	42	31	85	149	21	Humanist
p.5-23	Alaa Murabit	Peace expert	What my religion really says about women	TEDWomen 2015	12:13	2015-05	29	1,624,410	TEDx,Activism,Animals,Nature,Photography,,	469	56	43	81	141	297	24	157	628	475	23	18	19	5	Humanist
p.5-24	Jon Ronson	Writer and filmmaker	When online shaming spirals out of control	TEDGlobalLondon	17:11	2015-06	24	1,427,609	Culture,Humanity,Identity,Self,World cultures,,	37	34	26	33	231	274	12	207	153	245	6	2	6	52	Humanist
p.5-25	Marlene Zuk	Evolutionary biologist	What we learn from insects’ kinky sex lives	TEDWomen 2015	11:58	2015-05	27	1,311,661	Aging,Health,Medical research,Medicine,Neuroscience,,	55	90	293	18	169	296	21	30	68	6	13	7	26	7	Science
p.5-26	Salvatore Iaconesi	Open-source engineer and artist	What happened when I open-sourced my brain cancer	TEDMED 2013	10:52	2013-06	27	1,044,069	Aging,Disease,Health,Personal growth,Poetry,,	89	61	21	16	42	70	30	11	153	90	3	6	5	2	Art
p.5-27	Alec Soth + Stacey Baker	Photographer	This is what enduring love looks like 	TED2015	10:18	2015-03	28	1,461,147	Climate change,Global issues,Humanity,Inequality,Leadership,,	350	223	99	84	110	24	21	7	178	13	12	12	39	1	Art
p.5-28	Aspen Baker	Listener	A better way to talk about abortion	TEDWomen 2015	10:58	2015-05	29	1,477,020	Death,Global issues,History,Online video,,	109	73	13	87	40	122	14	60	226	220	18	19	27	7	Art
p.5-29	Noy Thrupkaew	Global journalist	Human trafficking is all around you. This is how it works	TED2015	18:51	2015-03	23	1,353,977	Middle East,Activism,Education,Inequality,Leadership,Women,,	124	34	6	22	48	343	8	163	234	250	7	15	25	52	Media
p.5-30	Ash Beckham	Equality advocate	When to take a stand — and when to let it go	TEDxBoulder	15:35	2014-09	18	1,283,326	TEDx,Business,Entrepreneur,Happiness,Work,,	210	39	266	40	67	123	12	142	525	328	23	14	17	12	Public
p.5-31	Johann Hari	Journalist	Everything you think you know about addiction is wrong	TEDGlobalLondon	14:42	2015-06	32	4,710,559	TEDx,Love,Media,Writing,,	1794	139	101	90	1489	2906	372	1518	3362	878	13	21	40	342	Media
p.5-32	Memory Banda	Activist	A warrior’s cry against child marriage	TEDWomen 2015	12:38	2015-05	31	1,099,627	Activism,Gender,Inequality,Women,,	276	19	16	4	51	107	2	78	419	361	8	3	4	33	Public
p.5-33	Rajiv Maheswaran	Researcher	The math behind basketball's wildest moves	TED2015	12:08	2015-03	17	1,587,340	Activism,Community,Economics,Inequality,Poverty,,	13	60	36	19	207	211	68	19	48	7	3	22	9	22	Science
p.5-34	Gayle Tzemach Lemmon	Reporter	Meet the women fighting on the front lines of an American war	TEDWomen 2015	11:25	2015-05	21	1,086,768	Foreign Policy,United States,Democracy,Fear,Global issues,Government,Politics,Security,Terrorism,War,,	148	41	19	34	32	80	5	24	253	120	27	13	13	21	Media
p.5-35	Latif Nasser	Radio researcher	The amazing story of the man who gave us modern pain relief	TED2015	13:51	2015-03	24	1,415,195	LGBT,Feminism,Inequality,Interview,Leadership,Social change,Sports,Women,,	270	103	14	28	170	342	9	30	359	62	9	21	47	12	Science
p.5-36	Jimmy Carter	Peace activist	Why I believe the mistreatment of women is the number one human rights abuse 	TEDWomen 2015	16:36	2015-05	27	1,209,936	Death,Global issues,Health,Health care,Life,Medicine,,	207	46	13	16	80	561	4	330	453	370	16	9	19	90	Public
p.6-1	Dame Ellen MacArthur	Circular economy advocate	The surprising thing I learned sailing solo around the world	TED2015	16:47	2015-03	21	1,177,588	Business,Economics,Happiness,Psychology,Work,,	92	34	2	31	134	233	67	129	478	181	2	4	15	26	Public
p.6-2	Chris Urmson	Roboticist	How a driverless car sees the road	TED2015	15:29	2015-03	25	1,699,732	Astronomy,Exploration,Innovation,Invention,Physics,Science,Space,,	75	61	30	18	390	508	145	86	164	13	1	10	14	79	Science
p.6-3	Maryn McKenna	Public health journalist	What do we do when antibiotics don’t work any more?	TED2015	16:59	2015-03	30	1,316,461	Human origins,Investment,Math,Philanthropy,Physics,,	20	66	8	34	212	915	35	396	225	75	31	22	46	110	Media
