NEWST	NAME	ROLE	TITLE	POSITION	DURATION	DAYS	SUB_COUNT	TOTAL_VIEWS	TOPICS	Beautiful	OK	Funny	Unconvincing	Fascinating	Informative	Ingenious	Persuasive	Inspiring	Courageous	Obnoxious	Confusing	Longwinded	Jaw-dropping	Role_refine
p.1-30	Laura Robinson	Ocean scientist	The secrets I find on the mysterious ocean floor	TEDxBrussels	11:21	2014-12	8	1,043,401	TEDx,Adventure,Ancient world,Animals,Beauty,Biodiversity,Biology,Biosphere,Chemistry,Climate change,Environment,Exploration,Future,History,Life,Nature,Oceans,Science,Water,,	95	36	4	0	52	109	8	2	28	2	1	10	7	3	Science
p.1-31	Caleb Harper	Principal Investigator and Director of the Open Agriculture Initiative	This computer will grow your food in the future	TEDGlobal>Geneva	15:55	2015-12	7	1,086,686	Vaccines,Agriculture,Biomechanics,Biosphere,Biotech,Botany,Chemistry,Climate change,Collaboration,Data,Design,Ebola,Education,Engineering,Environment,Food,Future,Garden,Green,Innovation,Nature,Open-source,Potential,Science,Software,Sustainability,Technology,Virus,Water,,	143	29	41	19	284	221	167	50	369	23	6	3	13	77	Humanist
p.1-32	Reshma Saujani	Education activist	Teach girls bravery, not perfection	TED2016	12:39	2016-02	13	1,556,096	Children,Computers,Development,Education,Future,Inequality,Innovation,Motivation,Personal growth,Potential,Programming,Social change,Software,Teaching,Women,,	143	40	12	13	164	292	18	288	1083	667	24	8	13	18	Public
p.1-33	Travis Kalanick	Problem solver-­in-­chief, Uber	Uber's plan to get more people into fewer cars	TED2016	19:18	2016-02	9	838,626	Brand,Internet,Business,Cars,China,Cities,Economics,Entrepreneur,Environment,Future,Green,India,Innovation,Invention,Investment,Mobility,Pollution,Potential,Society,Software,Sustainability,Technology,Transportation,Web,,	6	52	15	51	96	235	61	71	140	19	33	9	13	14	Management
p.1-34	Alexander Betts	Refugee scholar	Our refugee system is failing. Here's how we can fix it	TED2016	18:09	2016-02	12	509,579	Europe,Middle East,Big problems,Disaster relief,Economics,Failure,Fear,Future,Global issues,Government,Policy,Politics,Potential,Refugees,Security,Social change,,	36	18	8	65	26	237	51	153	290	141	19	13	8	8	Humanist
p.1-35	Russ Altman	Big data techno-­optimist and internist	What really happens when you mix medications?	TEDMED 2015	14:41	2015-11	13	1,054,842	Internet,TEDMED,Big problems,Complexity,Curiosity,Data,Depression,Health,Health care,Illness,Innovation,Medical research,Medicine,Potential,Science,,	22	33	21	11	177	415	112	94	70	7	4	7	6	7	Science
p.1-36	Magda Sayeg	Textile artist	How yarn bombing grew into a worldwide movement	TEDYouth 2015	5:30	2015-11	19	818,330	TEDYouth,Arts,Beauty,Creativity,Entertainment,Materials,Street art,,	98	59	31	18	24	15	30	10	69	15	4	1	1	5	Art
p.2-1	Thomas Peschak	Conservation photographer	Dive into an ocean photographer's world	Mission Blue II	10:10	2015-10	13	564,350	Communication,Composing,Grammar,Journalism,Language,Storytelling,Writing,,	381	9	5	5	207	95	3	59	263	29	2	4	4	74	Art
p.2-2	Ivan Coyote	Writer, performer	Why we need gender-neutral bathrooms	TEDxVancouver	11:50	2015-11	11	1,034,437	Big problems,Collaboration,Creativity,Design,Engineering,Exploration,Failure,Future,Global issues,Invention,Leadership,Motivation,Potential,Product design,Technology,,	207	70	37	112	20	141	12	170	197	261	61	24	25	14	Humanist
p.2-3	Mary Bassett	New York City Health Commissioner	Why your doctor should care about social justice	TEDMED 2015	13:49	2015-11	11	775,546	Big problems,Biomechanics,Biotech,Cancer,Disease,Engineering,Genetics,Health,Invention,Medical research,Medicine,Microbiology,Nanoscale,Science,Technology,,	13	29	6	20	12	69	3	52	64	37	9	3	13	4	Vip
p.2-4	Audrey Choi	Sustainable investment expert	How to make a profit while making a difference	TED@StateStreet Boston	12:34	2015-11	12	1,094,420	NASA,TED Books,Architecture,Biosphere,Climate change,Engineering,Environment,Exploration,Future,Global issues,Humanity,Industrial design,Invention,Life,Population,Potential,Prediction,Rocket science,Science,Space,Technology,Transportation,,	15	71	3	18	32	90	7	92	101	23	3	4	4	4	Management
p.2-5	Dalia Mogahed	Muslim studies scholar	What do you think when you look at me?	TED2016	16:16	2016-02	17	1,263,418	Activism,Big problems,Climate change,Collaboration,Communication,Community,Future,Global issues,Goal-setting,Government,Humanity,Identity,Inequality,Leadership,Live music,Policy,Politics,Social change,Social media,,	744	85	37	91	228	423	33	297	1260	1219	30	13	13	34	Humanist
p.2-6	Al Gore	Climate advocate	The case for optimism on climate change	TED2016	25:20:00	2016-02	15	1,080,252	Internet,Code,Communication,Computers,Data,Engineering,Interview,Invention,Programming,Technology,Web,,	184	13	8	40	130	560	24	394	765	167	29	11	22	68	Science
p.2-7	Raffaello D'Andrea	Autonomous systems pioneer	Meet the dazzling flying machines of the future	TED2016	11:35	2016-02	13	1,322,325	Activism,Big problems,Business,Corruption,Economics,Global issues,Government,Identity,Inequality,Investment,Law,Money,News,Poverty,,	200	73	19	8	502	369	224	12	244	21	5	8	12	256	Science
p.2-8	Allan Adams	Theoretical physicist	What the discovery of gravitational waves means	TED2016	10:58	2016-02	16	1,288,361	NASA,Planets,Astronomy,Exploration,Extraterrestrial life,Nature,Science,Technology,Universe,,	123	69	11	32	347	294	42	16	212	11	17	31	30	42	Science
p.2-9	Shonda Rhimes	Writer and producer	My year of saying yes to everything	TED2016	18:44	2016-02	17	1,702,499	Art,Beauty,Code,Computers,Design,Entertainment,Film,Magic,Programming,Science,Technology,Visualizations,,	732	83	132	53	186	124	46	177	1269	388	66	34	92	38	Humanist
p.2-10	Celeste Headlee	Writer and radio host	10 ways to have a better conversation	TEDxCreativeCoast	11:44	2015-05	16	2,901,424	Internet,Big problems,Collaboration,Communication,Community,Development,Economics,Engineering,Environment,Future,Global issues,Government,Green,History,Humanity,Inequality,Infrastructure,Innovation,Investment,Map,Mobility,Policy,Politics,Pollution,Potential,Social change,Society,Transportation,Urban,Urban planning,Visualizations,War,World cultures,,	656	82	703	23	776	1481	184	660	1093	51	16	22	8	17	Humanist
p.2-11	Jocelyne Bloch	Functional neurosurgeon	The brain may be able to repair itself — with help	TEDGlobal>Geneva	11:34	2015-12	18	1,530,247	Internet,Big problems,Development,Future,Government,Health care,Innovation,Leadership,Potential,Society,Technology,,	36	25	9	1	311	312	118	24	148	34	4	9	6	75	Science
